Row,Human,Natural
1990,795.477613421,223.805813862
1991,24.779007156,0
1992,606.776049972,0
1993,1021.308214562,0
1994,709.820234154,110.555898921
1995,320.044386092,20.85778056
1996,1456.654860597,274.89269533
1997,422.207923204,10.641953513
1998,274.037301241,34.019750307
1999,718.360754278,1009.124461858
2000,796.232598402,0
2001,507.502804734,0
2002,1411.960321163,8.666210636
2003,3005.454914566,78.07415425
2004,656.516320971,65.940927924
2005,235.340840647,259.490241488
2006,981.993278071,323.40869036
2007,2395.586975236,201.441601727
2008,915.70739053,1785.545308627
2009,907.605934677,45.273522025
2010,194.266043626,3.199674802
2011,136.313726416,213.962313157
2012,538.137162623,437.429904824
2013,1724.67557692,1.359556531
2014,776.236152824,1000.030400129
2015,1229.420557038,644.622611382
2016,1868.23787612,17.58875247
2017,3009.535705225,199.8209557
2018,5506.000157362,160.201688888
2019,703.998446981,17.87993674
2020,4488.402812255,11000.690957771
2021,5493.474078122,3992.88554501
2022,994.918554779,0
2023,453.079590482,77.32026631
2024,3145.497613545,100.13966767
