Row,Human,Natural
1990,254.172350572,231.05966843
1991,99.960019931,36.875100516
1992,231.188641482,69.076272036
1993,199.281558488,92.203434883
1994,185.362647432,382.677034087
1995,445.297050524,16.32886151
1996,655.621721374,298.305352387
1997,391.894140233,56.853350057
1998,340.299778817,20.809820161
1999,830.136135692,681.523120476
2000,161.730717312,34.412864485
2001,179.367568962,312.55818219
2002,359.33965343,2120.792681556
2003,225.013512309,611.735323055
2004,327.872768822,59.930541744
2005,272.351815522,168.096071642
2006,682.738071228,1039.595444015
2007,1360.293022329,218.238018846
2008,415.106914409,2479.268139255
2009,629.531870812,181.311657675
2010,84.123008968,127.370522713
2011,233.358376197,235.663596799
2012,421.036559589,2037.806962772
2013,353.549118857,224.625252442
2014,158.80116949,309.546004957
2015,209.266254538,1110.552105171
2016,267.00279065,57.766489148
2017,963.157520877,1596.172755369
2018,472.097951341,263.490332019
2019,203.623495842,206.958581006
2020,733.157137847,702.816665464
2021,200.967110037,480.848861667
2022,222.96727425,87.338664908
2023,568.499231326,285.259600961
2024,475.808171822,351.797577292
