binCenter,probDensity
-0.675,0.668005758633891
-0.375,-0.00490624433621433
-0.175,-0.456718217330015
-0.075,-0.313680168643721
0.025,-0.742148412654641
0.125,-0.698726270352328
0.175,-1.04975626601631
0.225,-0.961453567850025
0.275,-1.17778498961655
0.325,-1.17342732729396
0.375,-1.07366500696063
0.425,-0.998726270352328
0.475,-1.40774821299399
0.525,-1.22366500696063
0.575,-1.19147825077328
0.625,-1.49975626601631
0.675,-1.49860374356893
0.725,-1.65774821299399
0.775,-1.5751226477194
0.825,-1.64860374356893
0.875,-1.69860374356893
0.925,-2.04963373923291
0.975,-1.69214841265464
1.025,-1.84860374356893
1.075,-2.07469500262461
1.125,-1.9251226477194
1.175,-1.99860374356893
1.225,-2.09975626601631
1.275,-2.05284625300825
1.325,-2.10284625300825
1.375,-2.13165695393832
1.425,-2.35774821299399
1.475,-2.40774821299399
1.525,-2.60387624867224
1.575,-2.57469500262461
1.625,-2.62469500262461
1.675,-3.15181625734427
1.725,-2.59975626601631
1.775,-2.81248356351401
1.825,-2.69975626601631
1.875,-2.72342732729396
1.925,-2.92469500262461
1.975,-2.87778498961655
2.025,-2.89975626601631
2.075,-3.25078626168029
2.125,-3.24963373923291
2.175,-3.29963373923291
2.225,-3.40078626168029
2.275,-3.65490624433621
2.325,-3.62572499828859
2.375,-3.60877820865798
2.425,-3.65877820865797
2.475,-3.95181625734427
2.525,-3.90490624433621
2.575,-4.05181625734427
2.625,-4.22675499395257
2.675,-4.05490624433621
2.725,-4.50284625300825
2.775,-4.15490624433621
2.825,-4.90387624867224
2.875,-4.47675499395257
2.925,-4.52675499395257
3.025,-4.62675499395257
3.075,-4.85284625300825
3.175,-5.25387624867224
