binCenter,probDensity
-0.675,1.12194926464106
-0.375,0.403815360685534
-0.175,-0.164857967632316
-0.075,-0.142365966971104
0.025,-0.491426328974124
0.125,-0.613187444429373
0.175,-0.792150116341511
0.225,-0.888421260991515
0.275,-0.993121697192917
0.325,-1.18288421011824
0.375,-1.19442595829907
0.425,-1.08331185521304
0.475,-1.41206545616586
0.525,-1.30571825530594
0.575,-1.43692418791998
0.625,-1.61868087431475
0.675,-1.44245632463811
0.725,-1.59100210034042
0.775,-1.84023316290436
0.825,-1.84124670221349
0.875,-1.8368890398909
0.925,-2.172855289119
0.975,-2.1104331099327
1.025,-2.17594527611095
1.075,-2.37524335857869
1.125,-2.372855289119
1.175,-2.4981062415382
1.225,-2.53652436898838
1.275,-2.63482904856294
1.325,-2.75390996770623
1.375,-2.81914993426297
1.425,-2.93609672389358
1.475,-2.87494627177092
1.525,-3.07388528478299
1.575,-3.12388528478298
1.625,-3.40236461329836
1.675,-3.31103546050188
1.725,-3.41218798294926
1.775,-3.76321797861325
1.825,-3.63712671955756
1.875,-4.06733796126917
1.925,-3.81630796560519
1.975,-4.56527796994121
2.025,-4.21733796126917
2.075,-4.12120992559093
2.125,-5.01630796560519
2.175,-4.28815671522154
2.225,-4.81527796994121
2.275,-4.56424797427723
2.325,-4.73918671088553
2.375,-4.66424797427723
2.475,-5.06527796994121
2.525,-5.41630796560519
2.575,-5.46630796560519
2.675,-5.56630796560519
2.975,-5.86630796560519
3.025,-5.91630796560519
