binCenter,probDensity
0.025,-0.451679446120819
0.0750000000000001,-0.8027094417848
0.125,-0.508644813895617
0.175,-0.680860692168444
0.225,-0.801441766454149
0.275,-0.739468007010219
0.325,-0.853137086879596
0.375,-0.977770705176501
0.425,-1.0277707051765
0.475,-1.02661818272912
0.525,-1.10144176645415
0.575,-1.3404980026742
0.625,-1.25579942877674
0.675,-1.36794733552559
0.725,-1.43498067482437
0.775,-1.56070138876249
0.825,-1.61070138876249
0.875,-1.50579942877674
0.925,-1.58576265215419
0.975,-1.68498067482437
1.025,-1.7527094417848
1.075,-1.88189068783242
1.125,-2.00247176211813
1.175,-2.07880070084048
1.225,-1.88576265215419
1.275,-2.1276481783931
1.325,-2.13189068783242
1.375,-2.25247176211813
1.425,-2.32880070084048
1.475,-2.43679264781817
1.525,-2.40247176211813
1.575,-2.50682942444072
1.625,-2.61897733118957
1.675,-2.70373943744878
1.725,-2.62880070084048
1.775,-2.70682942444073
1.825,-2.89152799833818
1.875,-2.86897733118957
1.925,-3.12983069650446
1.975,-2.96897733118957
2.025,-2.98679264781817
2.075,-3.14152799833818
2.125,-3.23292068349641
2.175,-3.13679264781817
2.225,-3.63395067916039
2.275,-3.53782264348215
2.325,-3.47867817405708
2.375,-3.40373943744878
2.425,-3.57867817405708
2.475,-3.80476943311276
2.525,-3.85476943311276
2.575,-3.72867817405708
2.625,-4.25579942877675
2.675,-4.48189068783242
2.725,-4.13395067916039
2.775,-4.28086069216844
2.825,-4.15476943311276
2.925,-5.0329206834964
2.975,-4.60579942877675
3.025,-4.83189068783242
3.075,-4.88189068783242
3.125,-5.23292068349641
3.175,-5.28292068349641
3.225,-4.85579942877674
3.575,-5.6829206834964
3.625,-5.73292068349641
