binCenter,probDensity
0.025,-0.334262450729761
0.0750000000000001,-0.426460130524216
0.125,-0.446496907146773
0.175,-0.517686206216711
0.225,-0.550652866917928
0.275,-0.630914471950466
0.325,-0.733187754973143
0.375,-0.831195481044229
0.425,-0.843406920154829
0.475,-1.03235637120594
0.525,-1.04814227067484
0.575,-1.07883711547945
0.625,-1.14161140351588
0.675,-1.25425821265377
0.725,-1.32732351672247
0.775,-1.35425821265377
0.825,-1.41181135054422
0.875,-1.60490234949698
0.925,-1.65490234949698
0.975,-1.79917226633882
1.025,-1.79948448214972
1.075,-1.78421775063712
1.125,-2.02052817487449
1.175,-2.10271285824589
1.225,-2.26665621055273
1.275,-2.15528820831776
1.325,-2.36665621055273
1.375,-2.25528820831776
1.425,-2.53723728483843
1.475,-2.49546691148279
1.525,-2.58893260526388
1.575,-2.63893260526388
1.625,-3.01344369677739
1.675,-2.84159494716103
1.725,-2.7252635253945
1.775,-3.03850496016909
1.825,-3.16768620621671
1.875,-3.31459621922477
1.925,-3.36459621922477
1.975,-3.47258816620245
2.025,-3.66871620188069
2.075,-3.51459621922476
2.125,-3.76871620188069
2.175,-3.81871620188069
2.225,-4.09056495149705
2.275,-3.83953495583307
2.375,-4.71768620621671
2.425,-4.29056495149705
2.525,-4.56665621055273
2.575,-4.21871620188069
2.775,-5.11768620621671
2.975,-5.31768620621671
3.125,-5.46768620621671
3.325,-5.66768620621671
