binCenter,probDensity
-0.675,1.03641943988327
-0.375,0.114551055201759
-0.175,-0.317057531703754
-0.075,-0.328116448366973
0.025,-0.798782372172349
0.125,-0.716442163839666
0.175,-0.988290913456022
0.225,-1.10523770308663
0.275,-1.2965668558831
0.325,-1.20523770308664
0.375,-1.18829091345602
0.425,-1.05536022987004
0.475,-1.53132896214231
0.525,-1.28029896647834
0.575,-1.21914851435567
0.625,-1.76051020818994
0.675,-1.60639022553402
0.725,-1.7465668558831
0.775,-1.7643821725117
0.825,-1.88132896214232
0.875,-1.70948021252596
0.925,-2.01911752303172
0.975,-1.76808752736773
1.025,-1.88175660723711
1.075,-2.0643821725117
1.125,-2.18132896214231
1.175,-2.19656685588311
1.225,-2.2143821725117
1.275,-2.20639022553402
1.325,-2.20523770308663
1.375,-2.51051020818994
1.425,-2.51911752303171
1.475,-2.4965668558831
1.525,-2.66051020818994
1.575,-2.807420221198
1.625,-2.9823589578063
1.675,-3.0323589578063
1.725,-2.81911752303171
1.775,-3.007420221198
1.825,-3.057420221198
1.875,-3.05626769875062
1.925,-3.36154020385392
1.975,-2.9965668558831
2.025,-3.08132896214231
2.075,-3.307420221198
2.125,-3.30626769875062
2.175,-3.5323589578063
2.225,-3.75845021686198
2.275,-3.56541216817568
2.325,-4.15948021252596
2.375,-3.66541216817569
2.425,-3.60626769875061
2.475,-3.91154020385392
2.525,-3.81541216817568
2.575,-4.10845021686198
2.625,-4.28338895347028
2.675,-4.20845021686198
2.725,-4.38338895347028
2.775,-4.43338895347028
2.825,-4.48338895347028
2.925,-4.75948021252596
2.975,-5.11051020818994
3.025,-4.68338895347028
3.075,-4.90948021252596
3.175,-4.83338895347028
3.525,-5.66051020818994
3.575,-5.71051020818994
