binCenter,probDensity
-0.675,1.32950794910288
-0.375,0.41870482409305
-0.175,-0.169619415787389
-0.075,-0.279235184578988
0.025,-0.650518077537766
0.125,-0.769067280441496
0.175,-0.979646373318929
0.225,-1.0754038638796
0.275,-1.21227193859352
0.325,-1.3402141125256
0.375,-1.42097347633113
0.425,-1.2754038638796
0.475,-1.78754796262961
0.525,-1.60839997427176
0.575,-1.68527212067206
0.625,-1.80530998727981
0.675,-1.76276477967421
0.725,-1.88932188189568
0.775,-2.02589106156552
0.825,-2.19239663063696
0.875,-2.18024872388811
0.925,-2.39561611755202
0.975,-2.43515068387386
1.025,-2.47493151869217
1.075,-2.6269210572295
1.125,-2.92964637331893
1.175,-2.73988603439387
1.225,-2.87703621011277
1.275,-3.01597729344955
1.325,-3.08618067953784
1.375,-3.11597729344955
1.425,-3.30427999161583
1.475,-3.27964637331893
1.525,-3.35312746916845
1.575,-3.45427999161583
1.625,-3.8633019342575
1.675,-3.67921872822413
1.725,-3.80839997427176
1.775,-3.95530998727982
1.825,-4.00530998727981
1.875,-4.3563399829438
1.925,-4.05415746483243
1.975,-4.75736997860777
2.025,-4.33024872388811
2.075,-4.38024872388811
2.125,-4.90736997860778
2.175,-4.30415746483243
2.225,-5.30839997427176
2.275,-5.05736997860777
2.325,-5.40839997427176
2.375,-5.15736997860778
2.475,-5.25736997860778
2.525,-5.30736997860777
2.575,-5.65839997427176
2.675,-5.75839997427176
2.975,-6.05839997427176
3.025,-6.10839997427176
3.225,-6.30839997427176
