binCenter,probDensity
0.625,-1.0188639790773
0.675,-1.0688639790773
0.725,-1.21897913196057
0.775,-1.1688639790773
0.825,-1.37013165440795
0.875,-1.28182895624167
0.925,-1.3879448982206
0.975,-1.40898120228528
1.025,-1.37055929950275
1.075,-1.72158929516673
1.125,-1.79507039101625
1.175,-1.84507039101625
1.225,-1.78861506010196
1.275,-1.80240288744752
1.325,-1.90792021529735
1.375,-2.12425163706388
1.425,-2.17425163706388
1.475,-2.09931290045558
1.525,-2.27425163706388
1.575,-2.24507039101625
1.625,-2.47116165007193
1.675,-2.55895021096133
1.725,-2.53639954381272
1.775,-2.65895021096133
1.825,-2.63639954381272
1.875,-2.59622291346363
1.925,-3.07219164573591
1.975,-2.85895021096133
2.025,-2.90895021096133
2.075,-2.85421486044132
2.125,-3.00895021096134
2.175,-2.98639954381272
2.225,-3.3052448561053
2.275,-3.24610038668023
2.325,-3.4052448561053
2.375,-3.39725290912762
2.425,-3.5052448561053
2.475,-3.49725290912762
2.525,-3.6052448561053
2.575,-3.50034289611956
2.625,-4.0732216413999
2.675,-4.29931290045557
2.725,-4.0482829047916
2.775,-4.00137289178354
2.825,-3.97219164573592
2.925,-4.85034289611956
2.975,-4.4232216413999
3.025,-4.64931290045558
3.075,-5.00034289611956
3.125,-4.74931290045558
3.175,-5.10034289611956
3.225,-4.84931290045558
3.575,-5.50034289611956
3.625,-5.55034289611956
