binCenter,probDensity
0.625,-0.857664275422967
0.675,-0.802928924902954
0.725,-0.977867661511252
0.775,-0.982110170950579
0.825,-1.09187837595407
0.875,-1.10766427542297
0.925,-1.25293234136405
0.975,-1.32823820662881
1.025,-1.55869427108695
1.075,-1.41120486733003
1.125,-1.53375553447865
1.175,-1.8292682022928
1.225,-1.86223486299402
1.275,-1.9292682022928
1.325,-1.88584651713056
1.375,-2.08478553014263
1.425,-2.11548037494724
1.475,-2.3810801752866
1.525,-2.34675928958656
1.575,-2.348454610012
1.625,-2.59802696491721
1.675,-2.5810801752866
1.725,-2.57308822830891
1.775,-2.6810801752866
1.825,-3.03211017095058
1.875,-3.02411822397289
1.925,-3.02296570152551
1.975,-3.07296570152551
2.025,-3.37823820662882
2.075,-3.34905696058119
2.125,-3.87617821530086
2.175,-3.38211017095058
2.225,-3.67514821963687
2.275,-3.54905696058119
2.425,-4.17617821530085
2.525,-4.10008695624517
2.575,-3.92823820662881
2.625,-4.37617821530086
2.675,-4.72720821096483
2.975,-5.02720821096484
3.075,-5.12720821096483
3.325,-5.37720821096483
